City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
204,sola,-13.8833,167.55,24.84,82,100,12.74,VU,1690403386
205,keflavik,64.0049,-22.5624,13.95,76,75,3.6,IS,1690403386
206,crestview,30.7621,-86.5705,35.84,42,40,2.57,US,1690403386
207,hovd,48.0056,91.6419,20.19,34,56,1.38,MN,1690403312
208,port macquarie,-31.4333,152.9167,6.05,91,12,2.14,AU,1690403386
209,bumba,2.1833,22.4667,23.23,82,69,1.26,CD,1690403387
210,mongo,12.1844,18.693,26.97,71,10,1.73,TD,1690403387
211,south hedland,-20.4089,118.5983,14.96,63,7,2.57,AU,1690403387
212,kununurra,-15.7667,128.7333,9.99,93,5,0.0,AU,1690403387
213,burriana,39.889,-0.085,27.04,65,0,1.27,ES,1690403199
214,chonchi,-42.6128,-73.8092,9.51,87,100,1.21,CL,1690403241
215,saint-denis,48.9167,2.3333,21.43,57,0,3.6,FR,1690403387
216,mana,5.6592,-53.7767,28.14,77,13,4.05,GF,1690403387
217,opuwo,-18.0607,13.84,18.71,32,0,2.49,,1690403387
218,qingdao,36.0986,120.3719,25.78,89,75,4.0,CN,1690403388
219,vila velha,-20.3297,-40.2925,22.97,84,0,4.63,BR,1690403236
220,manaure,11.7751,-72.4445,28.86,75,57,8.18,CO,1690403388
221,andrews,32.3187,-102.5457,38.01,20,0,2.57,US,1690403388
222,kondoa,-4.9,35.7833,14.74,65,27,2.06,TZ,1690403388
223,pong nam ron,12.9058,102.2623,22.98,97,100,1.22,TH,1690403388
224,ar rutbah,33.0381,40.2848,31.55,13,0,3.12,IQ,1690403388
225,goundam,16.4145,-3.6708,38.77,25,100,1.05,ML,1690403389
226,macau,22.2006,113.5461,32.7,66,0,4.12,MO,1690403389
227,taulaga,-11.0553,-171.0883,27.77,69,18,7.61,AS,1690403389
228,akkol',48.7833,53.2,26.83,39,1,1.11,KZ,1690403389
229,itoman,26.1247,127.6694,28.21,88,75,8.75,JP,1690403389
230,south sioux city,42.4739,-96.4136,34.44,58,0,5.66,US,1690403389
231,lerwick,60.1545,-1.1494,11.84,79,9,3.21,GB,1690403389
232,ghormach,35.7306,63.7826,30.27,13,7,0.84,AF,1690403389
233,dakoro,14.5106,6.765,35.14,37,31,4.53,NE,1690403389
234,ar ruways,24.1103,52.7306,33.95,64,98,1.94,AE,1690403390
235,chibougamau,49.9168,-74.3659,24.79,50,40,6.35,CA,1690403390
